label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
RaCaS1,A24rv_R,2.21384716,40.5554222,-7.5923647,4.00029874,31.5898381,-7.0866478,Gray,Right ACgG anterior cingulate gyrus,Area s24,R ACC,R CG,Right cingulate gyrus D,,
RaCaS10,A9l_R,12.6085992,57.3369737,29.9698867,15.4949256,46.6224204,42.0645513,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 2 C,,
RaCaS2,A24rv_R,3.41324162,42.1536652,-3.5963805,5.19364742,33.1358575,-1.7538661,Gray,Right ACgG anterior cingulate gyrus,Area 33,R ACC,R CG,Right cingulate gyrus D,,
RaCaS3,A24rv_R,4.61263609,43.3523474,1.1988005,6.24813044,34.2468153,4.5461881,Gray,Right ACgG anterior cingulate gyrus,Area 33,R ACC,R CG,Right cingulate gyrus E,,
RaCaS4,A24rv_R,5.81203055,44.9505904,5.59438312,7.61196094,35.7829381,10.2844932,Gray,Right ACgG anterior cingulate gyrus,Area 33,R ACC,R CG,Right cingulate gyrus F,WM,
RaCaS5,A32sg_R,7.01142502,46.9483942,9.98996574,9.04689706,37.5874551,16.01783,Gray,Right ACgG anterior cingulate gyrus,Unknown,R ACC,R CG,Right cingulate gyrus G,,
RaCaS6,A9m_R,8.21081948,48.5466372,13.9859499,10.4841754,38.9043867,21.1895896,Gray,Right MSFG superior frontal gyrus medial segment,Unknown,R ACC,R SFG,Right superior frontal gyrus 1 A,,
RaCaS7,A9m_R,9.01041579,50.9440017,17.9819341,11.6062625,41.0791798,26.4429942,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 1 A,WM,
RaCaS8,Unknown,10.6096084,53.3413662,22.3775167,13.4800575,43.1960597,32.2192636,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,Unknown,Unknown,WM,
RaCaS9,A9l_R,11.4092047,55.3391699,25.9739025,14.3349902,44.9635525,36.907822,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 2 C,,
RAglT1,mAmyg_R,15.8069844,9.38968372,-17.182727,19.7233337,-1.5803952,-22.617659,Gray,Right Amygdala,Amygdala (LB),R ParaHippocampal Gyrus,R Amyg,Right amygdala inferior,,
RAglT10,A21c_R,60.5843778,4.99451548,-19.580317,68.8340919,-7.5662343,-23.060986,Unknown,Unknown,Unknown,R Middle Temporal Gyrus,R MTG,Right inferior middle temporal gyrus A,OOB,
RAglT2,mAmyg_R,21.0043604,8.99012297,-17.182727,25.5148724,-2.2382418,-22.485736,Gray,Right Amygdala,Amygdala (LB),R Hippocampus,R Amyg,Right amygdala superior,,
RAglT3,lAmyg_R,26.2017365,8.99012297,-17.582325,31.3129455,-2.3236099,-22.799147,Gray,Right Amygdala,Amygdala (LB),R Amygdala,R Amyg,Right amygdala inferior,,
RAglT4,Unknown,30.9993143,8.59056222,-17.582325,36.6120574,-2.7300489,-22.517927,White,Right Cerebral White Matter,Unknown,R Amygdala,Unknown,Unknown,WM,
RAglT5,Unknown,35.397094,7.79144073,-17.582325,41.3766541,-3.5940707,-22.288622,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
RAglT6,A21r_R,40.59447,6.99231923,-18.78112,47.0421242,-4.4456666,-23.386479,White,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,WM,
RAglT7,aSTS_R,45.3920479,6.59275848,-18.78112,52.3079535,-4.9405026,-22.882643,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,,
RAglT8,A21r_R,50.5894239,6.19319773,-18.78112,57.9614599,-5.6710697,-22.598636,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right superior middle temporal gyrus A,WM,
RAglT9,A21r_R,55.7867999,5.79363698,-18.78112,63.5879296,-6.4629088,-22.325166,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right inferior middle temporal gyrus A,,
RalS1,dIa_R,33.3981032,22.9747492,-7.1927663,38.79106,12.0908453,-7.4787911,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right middle short insular gyrus B,,
RalS10,A8dl_R,15.4071863,40.1558614,28.7710915,18.2446846,28.5293056,38.7303599,Gray,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 3 D,,
RalS11,A8dl_R,13.4081955,42.1536652,32.3674772,15.8551057,30.2647522,43.1673936,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,R SFG,Unknown,WM,
RalS12,A9l_R,11.4092047,44.5510297,35.963863,13.5278472,32.4687235,47.7293071,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,R SFG,Unknown,WM,
RalS13,A9l_R,9.41021395,46.5488334,39.5602488,11.2727189,34.3311612,52.2860227,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Medial Gyrus,R SFG,Right superior frontal gyrus 4 C,,
RalS14,A9l_R,7.41122317,48.1470764,43.1566346,9.0158474,35.7888424,56.7614319,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Medial Gyrus,R SFG,Right superior frontal gyrus 4 C,,
RalS2,dIa_R,30.9993143,24.972553,-3.1967821,35.8470283,14.0892647,-2.3446066,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right anterior short insular gyrus B,,
RalS3,dIa_R,29.0003235,26.9703567,0.79920208,33.3452187,16.0699918,2.75179437,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right anterior short insular gyrus A,,
RalS4,dIa_R,27.4011309,28.5685997,4.79518628,31.2501641,17.5564205,7.76745154,Gray,Right AIns anterior insula,Unknown,R Insula Lobe,R INS,Right anterior short insular gyrus A,,
RalS5,Unknown,25.4021401,30.1668427,9.1907689,28.8531259,19.0328245,13.3518758,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Right pars opercularis C,WM,
RalS6,Unknown,23.4031494,32.1646464,13.1867531,26.6669743,20.9769044,18.567401,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
RalS7,Unknown,21.4041586,33.7628894,17.1827373,24.5356442,22.48111,23.7335581,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
RalS8,Unknown,19.4051678,35.7606932,21.1787215,22.5060768,24.4156113,28.9683519,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
RalS9,Unknown,17.406177,37.7584969,24.7751073,20.5180926,26.3671194,33.697482,Gray,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,Unknown,Right superior frontal gyrus 3 D,,
RHplT1,rHipp_R,18.6055715,1.79802948,-15.184735,22.7513394,-9.8584645,-20.882393,Gray,Right Hippocampus,CA1 (Hippocampus),R Hippocampus,R Hipp,Right hippocampus pes,,CA1
RHplT10,A21c_R,62.5833685,-8.59055,-15.584333,71.1171371,-22.388565,-19.4947,Gray,Unknown,Unknown,R Middle Temporal Gyrus,R MTG,Right inferior middle temporal gyrus C,OOB,
RHplT2,rHipp_R,23.8029475,0.19978648,-15.184735,28.4770139,-11.738052,-20.853355,Gray,Right Hippocampus,CA2 (Hippocampus),R Hippocampus,R Hipp,Right hippocampus pes,,CA2
RHplT3,cHipp_R,28.6005254,-0.9988958,-15.184735,33.7370338,-13.034628,-20.783457,Gray,Right Hippocampus,CA1 (Hippocampus),R Hippocampus,R Hipp,Right hippocampus pes,,CA3
RHplT4,cHipp_R,33.3981032,-2.197578,-15.184735,38.8769769,-14.422862,-20.612718,White,Right Hippocampus,CA1 (Hippocampus),R Hippocampus,R Hipp,Unknown,WM,
RHplT5,A20rv_R,38.1956811,-3.3962603,-15.184735,44.0964312,-15.758087,-20.274145,White,Right Cerebral White Matter,Unknown,R Fusiform Gyrus,R FuG,Unknown,WM,
RHplT6,Unknown,42.993259,-4.5949425,-15.184735,49.2803241,-17.104902,-19.878575,White,Right Cerebral White Matter,Unknown,R Inferior Temporal Gyrus,Unknown,Unknown,WM,
RHplT7,A21c_R,47.7908368,-5.7936248,-15.184735,54.5215567,-18.533203,-19.572412,White,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R MTG,Right inferior middle temporal gyrus B,WM,
RHplT8,A21c_R,52.9882128,-6.992307,-15.184735,60.3714558,-20.100739,-19.387362,Gray,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R MTG,Right inferior middle temporal gyrus B,,
RHplT9,A21c_R,57.7857907,-8.1909893,-15.184735,65.7671925,-21.681115,-19.234317,Gray,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R MTG,Right inferior middle temporal gyrus B,,
RmCmS1,Unknown,1.81404901,21.3765062,16.3835405,2.78786241,10.1182477,20.1370039,White,Right Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
RmCmS10,Unknown,26.6015346,33.3633287,49.9498077,30.0790325,19.3344178,64.1600345,Gray,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
RmCmS2,A24rv_R,4.61263609,22.5751885,19.9799262,5.78176044,10.9979347,24.7283115,Gray,Right MCgG middle cingulate gyrus,Area 33,R ACC,R CG,Unknown,WM,
RmCmS3,A24rv_R,7.41122317,23.7738707,23.9759104,8.83885145,11.825147,29.8734876,White,Right Cerebral White Matter,Area 33,R MCC,R CG,Unknown,WM,
RmCmS4,A8m_R,10.2098103,24.972553,27.9718946,11.8924734,12.6759895,35.1098907,Gray,Right MCgG middle cingulate gyrus,Unknown,R MCC,R SFG,Right cingulate gyrus J,,
RmCmS5,A8m_R,13.0083973,26.1712352,31.5682804,14.9453906,13.5338038,39.8286135,White,Right Cerebral White Matter,Unknown,R MCC,R SFG,Unknown,WM,
RmCmS6,Unknown,15.8069844,27.7694782,35.1646662,17.9306765,14.8114813,44.6082945,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,Unknown,Unknown,WM,
