label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
LaCaS1,A32sg_L,-2.1985121,42.9422249,0.39999592,-2.1719888,31.0604446,-9.5733657,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus C,,
LaCaS10,A9l_L,-12.191809,54.5385666,42.7999934,-12.589239,50.8713747,37.6378152,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,WM,
LaCaS11,A9l_L,-13.391005,56.138062,47.9999931,-13.741458,53.3874828,43.4566869,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,OOB,
LaCaS12,Unknown,-15.389664,57.3376836,51.5999929,-15.762398,55.1966589,47.4630926,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LaCaS2,A32sg_L,-3.3977077,44.1418464,5.19999564,-3.5282358,33.2824315,-4.187506,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus D,,
LaCaS3,A32sg_L,-4.5969033,45.7413418,9.59999537,-4.8466362,35.8617055,0.60008675,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,
LaCaS4,A32sg_L,-5.7960989,46.9409634,13.9999951,-6.1198771,37.9068161,5.47279214,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,WM,
LaCaS5,A32p_L,-6.9952946,48.1405849,18.7999948,-7.2434828,40.0959818,10.8063324,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,
LaCaS6,A32p_L,-8.1944902,49.3402065,23.5999945,-8.4051303,42.2277213,16.1265986,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,
LaCaS7,A10m_L,-8.9939539,50.5398281,28.3999943,-9.2973907,44.3260742,21.47339,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,,
LaCaS8,A10m_L,-10.19315,52.1393235,33.199994,-10.6774,46.8064478,26.800455,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,WM,
LaCaS9,A9l_L,-11.392345,53.338945,37.9999937,-11.84104,48.8326168,32.216688,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,Left superior frontal gyrus 2 C,
LAgIT1,rHipp_L,-15.789396,12.1519382,-13.600003,-14.919074,-3.8806696,-22.959394,Gray,Left Ent entorhinal area,Amygdala (LB),L ParaHippocampal Gyrus,L Hipp,Left parahippocampal gyrus A,,
LAgIT10,A21r_L,-59.759902,21.3490368,-13.600003,-60.249671,3.52305197,-23.880466,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal pole D,,
LAgIT11,Unknown,-64.556684,22.5486584,-12.800003,-65.339186,4.85313815,-23.222344,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LAgIT12,Unknown,-69.753199,22.5486584,-13.200003,-71.004374,4.84091453,-23.702046,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LAgIT2,rHipp_L,-20.586178,13.3515598,-13.600003,-19.785605,-3.0433766,-23.17448,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,
LAgIT3,rHipp_L,-25.382961,14.1513075,-13.600003,-24.624504,-2.5547344,-23.231835,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Hipp,Left amygdala inferior,,
LAgIT4,lAmyg_L,-30.579475,15.350929,-13.600003,-29.868093,-1.62587,-23.291238,Gray,Left Ent entorhinal area,Amygdala (LB),L Amygdala,L Amyg,Left amygdala inferior,,
LAgIT5,Unknown,-35.376258,16.1506767,-13.600003,-34.766763,-1.0504033,-23.350821,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LAgIT6,A38l_L,-40.17304,17.3502983,-13.600003,-39.70598,-0.0037775,-23.416623,White,Left PP planum polare,Unknown,Unknown,L STG,Left superior temporal gyrus A,WM,
