label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
LaCas1,A13_L,-9.181259155,37.59515065,0.39977169,-7.760768384,29.35103747,-16.33416241,White,Left MFC medial frontal cortex,Area s32,L Rectal Gyrus,L OrG,Left frontal pole 1 B,WM,
LaCas10,A9/46d_L,-25.54785156,38.39504749,40.77702546,-27.10880217,42.2882393,30.74282435,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 3 A,,
LaCas11,A9/46d_L,-27.14459229,38.7949959,45.57432294,-28.90637825,44.08160566,36.22853748,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 3 B,,
LaCas12,Unknown,-28.74133301,38.7949959,50.37162042,-30.69432643,45.53001121,41.86293108,Unknown,Unknown,Unknown,L Superior Frontal Gyrus,Unknown,Left middle frontal gyrus 3 B,OOB,
LaCas2,A13_L,-11.17718506,37.19520223,4.797294378,-10.27508654,30.39679142,-11.02794067,White,Left ACgG anterior cingulate gyrus,Area s32,L Mid Orbital Gyrus,L OrG,Left cingulate gyrus C,WM,
LaCas3,Unknown,-12.77392578,36.79525381,9.594591856,-12.30770984,31.54232692,-5.263482233,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LaCas4,Unknown,-14.3706665,36.79525381,13.99211454,-14.17766344,32.94577322,-0.11782898,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LaCas5,Unknown,-16.36659241,36.79525381,18.78941202,-16.46750952,34.44372621,5.515178366,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LaCas6,Unknown,-18.36251831,36.79525381,23.18693471,-18.76095835,35.74880543,10.66821999,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LaCas7,Unknown,-20.35844421,36.79525381,27.5844574,-21.07772956,37.01464052,15.81519948,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LaCas8,A9/46d_L,-21.95518494,37.19520223,32.38175488,-22.93768298,38.74772667,21.32695286,White,Left Cerebral White Matter,Unknown,L Middle Frontal Gyrus,L MFG,Unknown,Left middle frontal gyrus 2 A,
LaCas9,A9/46d_L,-23.95111084,37.99509907,36.77927756,-25.24446884,40.76948498,26.19903631,White,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left middle frontal gyrus 2 A,,
LAgIT1,rHipp_L,-23.15274048,6.799122453,-10.39414763,-22.47028998,-6.366428323,-19.65530816,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala superior ,,
LAgIT10,Unknown,-66.66392517,1.999741435,-13.99212074,-71.08834159,-10.76649859,-24.1200244,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LAgIT2,rHipp_L,-27.94296265,5.999225616,-10.79392242,-27.65462862,-7.225541556,-19.75525023,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala superior ,,
LAgIT3,lAmyg_L,-32.73318481,5.599277198,-11.19369721,-32.95503099,-7.566912765,-19.9920704,Gray,Left Cerebral White Matter,CA1 (Hippocampus),L Hippocampus,L Amyg,Unknown,Left amygdala superior ,border
LAgIT4,Unknown,-37.92259216,4.799380362,-11.593472,-38.92955059,-8.333618475,-20.239207,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,
LAgIT5,Unknown,-43.11199951,4.399431944,-11.99324679,-44.85270115,-8.621618067,-20.76953648,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,Unknown,Unknown,WM,
LAgIT6,aSTS_L,-47.90222168,3.599535108,-12.39302158,-50.26602557,-9.341456822,-21.34218533,White,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus A,WM,
LAgIT7,A21r_L,-52.69244385,3.199586689,-13.19257116,-55.61163932,-9.827594199,-22.66732561,White,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,,
LAgIT8,A21r_L,-57.8818512,2.399689853,-13.59234595,-61.44057106,-10.58104113,-23.3612268,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus B,,
LAgIT9,A21c_L,-62.67207336,1.999741435,-13.59234595,-66.75640438,-10.79768347,-23.49414387,Unknown,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,OOB,
LHpIT1,rHipp_L,-23.95111084,-4.399433255,-13.59234595,-23.78528038,-18.88227373,-20.14193982,Gray,Left Hippocampus,Subiculum,L Hippocampus,L Hipp,Left hippocampus pes,,subiculum
LHpIT10,Unknown,-67.06311035,-16.3978858,-5.996624947,-72.0343863,-28.01902501,-10.11406681,Unknown,Unknown,Unknown,Unknown,Unknown,Left superior middle temporal gyrus C,OOB,
LHpIT2,cHipp_L,-28.74133301,-5.59927851,-12.39302158,-29.21029733,-19.68960179,-18.31268539,Gray,Left Hippocampus,DG (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,,CA1
LHpIT3,cHipp_L,-33.53155518,-6.799123764,-11.19369721,-34.6867041,-20.47522494,-16.55855338,Gray,Left Hippocampus,CA2 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus body ,,CA1
