label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
LaCaS1,A32sg_L,-1.9968632,29.1544728,-12.396027,-1.4890997,25.8001796,-10.918105,Gray,Left ACgG anterior cingulate gyrus,Area s24,L Olfactory cortex,L CG,Left cingulate gyrus C,,Left cingulate gyrus C
LaCaS2,A32sg_L,-2.3962395,31.1513544,-7.9974365,-2.3059758,28.213844,-6.2699093,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus C,,Left cingulate gyrus C
LaCaS3,A32sg_L,-3.1949921,33.1482361,-3.1989746,-3.5813406,30.4633782,-1.1140841,White,Left ACgG anterior cingulate gyrus,Area 33,L ACC,L CG,Unknown,WM,WM
LaCaS4,A24rv_L,-3.5943683,35.1451178,1.19961548,-4.4021999,32.5519747,3.55987944,White,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Unknown,WM,WM
LaCaS5,A24rv_L,-4.3931209,37.1419994,5.59820557,-5.6126242,34.8490058,8.27223737,White,Left ACgG anterior cingulate gyrus,Area 33,L ACC,L CG,Left cingulate gyrus F,WM,WM
LaCaS6,A32p_L,-4.7924972,39.1388811,10.3966675,-6.1822379,37.3820741,13.5435039,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
LaCaS7,A32p_L,-5.5912497,40.7363864,14.7952576,-7.1402053,39.4421279,18.3979058,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus G,,Left cingulate gyrus G
LaCaS8,A10m_L,-6.3900023,43.1326444,19.5937195,-8.0638138,42.3670465,23.7197312,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,,Left superior frontal gyrus 1 A
LaCaS9,A10m_L,-6.7893785,45.1295261,23.9923096,-8.4677991,44.8027277,28.6156588,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,,Left superior frontal gyrus 1 A
LaCaS10,A9m_L,-7.1887548,47.1264077,28.3908997,-9.0712064,47.2437485,33.5270167,White,Left Cerebral White Matter,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 2 B,WM,WM
