label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
LaCaS1,A13_L,-6.54965,41.77678,-7.03872,-6.14969,34.97941,-12.4501,Gray,Left ACgG anterior cingulate gyrus,Area s32,L Mid Orbital Gyrus,L OrG,Left frontal pole 1 C,,Left frontal pole 1 C
LaCaS10,A9l_L,-9.74673,49.77233,37.28761,-11.1581,45.8798,38.08775,Gray,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,Left superior frontal gyrus 2 C,Left superior frontal gyrus 2 C
LaCaS11,A9l_L,-9.74673,50.97167,42.07965,-11.0338,47.45796,43.55471,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,WM,WM
LaCaS12,A9l_L,-10.1464,50.97167,46.87168,-11.5214,47.74693,49.07517,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 3 C,,Left superior frontal gyrus 3 C
LaCaS2,A32sg_L,-6.94928,42.57633,-2.24668,-6.82622,36.24643,-7.12713,Gray,Left ACgG anterior cingulate gyrus,Area s32,L ACC,L CG,Left cingulate gyrus D,,Left cingulate gyrus D
LaCaS3,A32sg_L,-7.34892,43.37589,2.545354,-7.41786,37.55496,-1.76236,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,Left cingulate gyrus E
LaCaS4,A32sg_L,-7.74855,44.17544,7.736726,-7.98204,38.85063,4.158728,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,Left cingulate gyrus E
LaCaS5,A32p_L,-7.74855,45.77456,12.9281,-8.1281,40.88266,10.06763,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
LaCaS6,A32p_L,-8.14819,45.77456,18.11947,-8.73936,40.98237,16.07058,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
LaCaS7,A32p_L,-8.54782,47.37367,22.11283,-9.38694,42.74267,20.57168,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L CG,Left superior frontal gyrus 1 A,,Left superior frontal gyrus 1 A
