label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
LaCaS1,A32sg_L,-6.1496617,41.1352272,0.19977957,-6.5269455,29.9435172,-8.2994315,Gray,Left ACgG anterior cingulate gyrus,Area s24,L ACC,L CG,Left cingulate gyrus C,,Left cingulate gyrus C
LaCaS10,A9l_L,-12.143857,56.3113308,42.9535578,-12.981201,49.8020894,36.9750116,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,,Left superior frontal gyrus 2 C
LaCaS11,A9l_L,-12.943083,57.9088154,47.3488061,-13.738373,51.9796128,41.6773572,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,,Left superior frontal gyrus 2 C
LaCaS12,Unknown,-12.943083,59.1069288,51.7440543,-13.697022,53.7780217,46.41097,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LaCaS2,A24rv_L,-6.5492747,43.1320829,4.99459583,-7.1411987,32.4657834,-3.4471995,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus D,,Left cingulate gyrus D
LaCaS3,A32sg_L,-7.3485007,44.7295675,9.78941208,-8.1563206,34.4936092,1.5205622,White,Left Cerebral White Matter,Unknown,L ACC,L CG,Unknown,WM,WM
LaCaS4,Unknown,-8.1477268,46.3270521,14.5842283,-9.1366955,36.5088477,6.49596031,White,Left Cerebral White Matter,Unknown,L ACC,Unknown,Unknown,WM,WM
LaCaS5,A32p_L,-8.5473398,48.3239079,18.9794766,-9.5436619,39.0512676,11.0920193,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
LaCaS6,A32p_L,-8.9469528,49.5220213,23.7742928,-9.9019266,40.7805214,16.2768437,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
LaCaS7,A10m_L,-10.145792,51.1195059,28.5691091,-11.118632,42.9087678,21.4771359,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,,Left superior frontal gyrus 1 A
LaCaS8,A10m_L,-10.545405,52.7169905,33.3639253,-11.555687,45.0741775,26.6867247,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,,WM
LaCaS9,A9l_L,-11.344631,54.3144751,38.5583096,-12.234521,47.2740513,32.3197161,Gray,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,Left superior frontal gyrus 2 C,Left superior frontal gyrus 2 C
LAgIT1,rHipp_L,-14.941148,7.98742199,-20.17819,-15.791283,-5.6493539,-27.458492,Gray,Left Ent entorhinal area,Entorhinal Cortex,L ParaHippocampal Gyrus,L Hipp,Left parahippocampal gyrus B,,Left parahippocampal gyrus B
LAgIT10,aSTS_L,-56.10129,3.59433937,-3.3963326,-60.123096,-10.521293,-9.0251159,Gray,Left STG superior temporal gyrus,Area TE 3,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,,Left superior middle temporal gyrus B
LAgIT11,aSTS_L,-60.09742,3.99371052,-1.3984925,-64.1838,-10.240033,-7.0591766,Gray,Left STG superior temporal gyrus,Area TE 3,L Middle Temporal Gyrus,L MTG,Left superior temporal gyrus C,,Left superior temporal gyrus C
LAgIT12,aSTS_L,-64.892776,3.99371052,-0.1997885,-69.175701,-10.428602,-5.9448011,Unknown,Unknown,Area TE 3,L Middle Temporal Gyrus,L MTG,Left superior temporal gyrus B,OOB,OOB
LAgIT2,rHipp_L,-19.336891,7.58805084,-18.180349,-20.555513,-5.9625526,-24.949554,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,Left amygdala inferior
LAgIT3,rHipp_L,-23.732635,7.1886797,-16.582077,-25.375416,-6.3510732,-22.988693,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,Left amygdala inferior
LAgIT4,rHipp_L,-28.128378,6.78930855,-14.584237,-30.296856,-6.7285691,-20.692363,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,Left amygdala inferior
LAgIT5,Unknown,-32.923734,6.3899374,-12.186829,-35.60706,-7.0809329,-18.023326,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LAgIT6,A38l_L,-37.319477,6.3899374,-10.588557,-40.392371,-7.1204861,-16.39803,Gray,Left PP planum polare,Area Id1,Unknown,L STG,Left superior temporal gyrus B,WM,WM
LAgIT7,A22r_L,-42.514447,5.19182396,-8.5907169,-45.957661,-8.4330755,-14.218041,Gray,Left STG superior temporal gyrus,Area Id1,L Superior Temporal Gyrus,L STG,Unknown,Left superior temporal gyrus B,Left superior temporal gyrus B
LAgIT8,A22r_L,-47.309803,4.79245281,-6.9924448,-51.023349,-9.0193721,-12.670639,Gray,Left STG superior temporal gyrus,Unknown,L Middle Temporal Gyrus,L STG,Left superior temporal gyrus B,,Left superior temporal gyrus B
LAgIT9,aSTS_L,-51.705546,3.99371052,-4.9946047,-55.571532,-9.9414747,-10.576459,Gray,Left STG superior temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,,Left superior middle temporal gyrus B
LaImM1,vId/vIg_L,-36.120638,21.9654121,-5.3941727,-38.309724,8.85868357,-12.4646,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left posterior short insular gyrus C,,Left posterior short insular gyrus C
LaImM10,Unknown,-20.935344,26.7578659,37.3596056,-21.43787,18.260246,35.0186388,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LaImM11,A8dl_L,-19.736504,27.1572371,41.7548538,-19.928373,19.2637424,39.9658831,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,Left superior frontal gyrus 4 D,Left superior frontal gyrus 4 D
LaImM12,A8dl_L,-17.738439,27.9559793,46.54967,-17.760771,20.8137157,45.4494934,White,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 4 D,,Left superior frontal gyrus 4 D
LaImM13,A8dl_L,-16.5396,28.7547216,51.3444863,-16.742359,22.404662,51.0792345,Gray,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 4 D,,Left superior frontal gyrus 4 D
LaImM14,A8dl_L,-14.941148,29.1540928,56.1393026,-15.300647,23.6007857,56.7313258,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 D,,Left superior frontal gyrus 5 D
LaImM15,A8dl_L,-12.943083,30.3522062,60.5345508,-13.398858,25.528374,61.6962833,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 C,,Left superior frontal gyrus 5 C
LaImM16,Unknown,-12.143857,30.3522062,64.929799,-12.59221,26.1690002,66.7875373,Unknown,Unknown,Unknown,L Superior Frontal Gyrus,Unknown,Left superior frontal gyrus 5 C,,Left superior frontal gyrus 5 C
LaImM2,dId_L,-34.122573,22.3647833,-0.5993565,-36.090619,9.68748069,-6.9852017,Gray,Left AIns anterior insula,Unknown,L Insula Lobe,L INS,Left posterior short insular gyrus C,,Left posterior short insular gyrus C
