label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
LllT7,A22c_L,-65.14114439,-10.83564854,4.147472799,-70.03569648,-22.01211674,4.912827886,Gray,Left STG superior temporal gyrus,Area TE 3,L Middle Temporal Gyrus,L STG,Left superior temporal gyrus D,OOB,OOB
LllT8,Unknown,-69.14024532,-11.63500714,5.746551216,-74.66577356,-22.4410263,6.817715226,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LmCmS1,A24rv_L,-6.354360819,6.750240803,31.33180588,-4.969178088,2.764998209,31.43831662,Gray,Left MCgG middle cingulate gyrus,Area 33,L ACC,L CG,Left cingulate gyrus J,,Left cingulate gyrus J
LmCmS10,Unknown,-18.75157368,23.13709223,69.70968789,-18.29545671,30.58486543,73.44846536,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LmCmS2,A24cd_L,-7.554091096,9.148316622,35.72927153,-6.344848221,6.42042718,35.94476638,Gray,Left MCgG middle cingulate gyrus,Unknown,L MCC,L CG,Left cingulate gyrus J,WM,WM
LmCmS3,A24cd_L,-8.753821373,11.14671314,40.12673718,-7.661368587,9.692171382,40.62086793,Gray,Left SMC supplementary motor cortex,Unknown,L MCC,L CG,Left superior frontal gyrus 5 A,,Left superior frontal gyrus 5 A
LmCmS4,A8m_L,-10.35346174,13.14510965,44.12443322,-9.502891164,12.9510022,44.91339109,Gray,Left SMC supplementary motor cortex,Unknown,L MCC,L SFG,Left superior frontal gyrus 5 A,WM,WM
LmCmS5,A8m_L,-11.55319202,15.14350617,48.52189887,-10.85628177,16.30182569,49.70245024,White,Left Cerebral White Matter,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,WM,WM
LmCmS6,A8dl_L,-12.7529223,17.14190269,53.31913412,-12.03803264,19.74365425,54.95682785,White,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,WM,WM
LmCmS7,A8dl_L,-14.35256267,19.1402992,57.31683016,-13.65400406,23.069583,59.38218884,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 5 C,,Left superior frontal gyrus 5 C
LmCmS8,Unknown,-15.95220304,21.13869572,61.7142958,-15.27508769,26.44501224,64.24395627,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,Unknown,Left superior frontal gyrus 5 D,OOB,OOB
LmCmS9,Unknown,-17.5518434,23.13709223,65.71199185,-16.97615801,29.67241321,68.71868305,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LmlBr1,A4tl_L,-42.34626913,11.14671314,10.14401686,-44.521315,3.731917977,7.677799368,Gray,Left CO central operculum,Unknown,L Insula Lobe,L PrG,Left posterior motor K,,Left posterior motor K
LmlBr2,A6cvl_L,-47.14519024,12.34575105,10.14401686,-49.86346166,5.336221539,7.6309534,Gray,Left Cerebral White Matter,Unknown,L IFG (p Opercularis),L PrG,Left anterior motor D,,Left anterior motor D
LmlBr3,A6cvl_L,-51.94411135,13.54478896,10.14401686,-55.23570244,6.888406987,7.530634163,Gray,Left PrG precentral gyrus,Area 44,L IFG (p Opercularis),L PrG,Left anterior motor D,,Left anterior motor D
LmlBr4,A4tl_L,-56.74303246,14.74382687,10.14401686,-60.62423008,8.266431046,7.376958244,Gray,Left PrG precentral gyrus,Area 44,L IFG (p Opercularis),L PrG,Left anterior motor D,,Left anterior motor D
LmlBr5,Unknown,-61.94186366,17.54158199,10.54378647,-66.55000217,11.62416773,7.465053584,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LmlBr6,Unknown,-66.34087467,18.34094059,10.54378647,-71.24415531,12.55221278,7.432826665,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LmOlF1,A11m_L,-9.153731465,57.90919161,-3.847919285,-8.762512603,52.30298612,-17.59132175,White,Left Cerebral White Matter,Area Fo1,L Rectal Gyrus,L OrG,Left frontal pole 1 D,WM,WM
LmOlF2,A11l_L,-14.35256267,57.109833,-1.44930166,-14.48393323,52.02893871,-14.74338028,Gray,Left Cerebral White Matter,Area Fo3,L Superior Orbital Gyrus,L OrG,Unknown,Left frontal orbital 2 C,Left frontal orbital 2 C
LmOlF3,A11l_L,-18.35166359,57.109833,0.9493159652,-18.79759502,52.53939607,-11.94031856,White,Left Cerebral White Matter,Unknown,L Superior Orbital Gyrus,L OrG,Unknown,WM,WM
LmOlF4,A12/47o_L,-23.1505847,57.109833,3.34793359,-24.09261522,53.04886882,-9.230779456,Gray,Left Cerebral White Matter,Area Fp1,L Middle Orbital Gyrus,L OrG,Unknown,Left frontal orbital 2 D,Left frontal orbital 2 D
LmOlF5,A10l_L,-27.54959571,57.109833,5.346781611,-28.95465163,53.49895646,-6.831369351,White,Left Cerebral White Matter,Area Fp1,L Middle Orbital Gyrus,L MFG,Left frontal pole 1 H,WM,WM
LmOlF6,A10l_L,-31.54869664,57.109833,7.345629632,-33.34590876,54.07425674,-4.266303458,Gray,Left MFG middle frontal gyrus,Area Fp1,L Middle Orbital Gyrus,L MFG,Left frontal pole 1 H,,Left frontal pole 1 H
LmOlF7,A46_L,-35.94770765,56.3104744,9.744247258,-38.12074877,53.87954447,-1.083344744,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Orbital Gyrus,L MFG,Left frontal pole 3 F,,Left frontal pole 3 F
LmOlF8,A9/46v_L,-40.74662876,56.3104744,12.14286488,-43.21354797,54.53098115,1.977260651,Gray,Left MFG middle frontal gyrus,Unknown,L Middle Frontal Gyrus,L MFG,Left frontal pole 3 G,,Left frontal pole 3 G
LmOlF9,Unknown,-43.9459095,55.51111579,14.1417129,-46.75270563,54.28229567,4.593254629,Gray,Unknown,Unknown,L Middle Frontal Gyrus,Unknown,Left frontal pole 3 G,OOB,OOB
LpCWr1,A23v_L,-4.754720449,-31.219293,16.14056093,-4.717886795,-44.24703979,18.76291714,White,Left PCgG posterior cingulate gyrus,Unknown,L PCC,L CG,Left cingulate gyrus P,,Left cingulate gyrus P
LpCWr10,A39rv_L,-49.54465079,-38.81319976,15.34102172,-53.99289151,-52.0720247,20.38400917,Gray,Left STG superior temporal gyrus,Area PGa (IPL),L Middle Temporal Gyrus,L IPL,Left superior temporal gyrus G,,Left superior temporal gyrus G
LpCWr11,A40c_L,-54.3435719,-39.61255836,15.34102172,-59.39568217,-52.85521784,20.58353925,Gray,Left STG superior temporal gyrus,Area PGa (IPL),L Middle Temporal Gyrus,L IPL,Left supramarginal gyrus 5 E,,Left supramarginal gyrus 5 E
LpCWr12,A22c_L,-59.5424031,-40.81159627,15.34102172,-65.30991823,-54.00072544,20.87422822,Gray,Unknown,Area PFm (IPL),L SupraMarginal Gyrus,L STG,Left supramarginal gyrus 5 E,OOB,OOB
LpCWr2,A23v_L,-9.553641558,-32.41833091,16.14056093,-9.877411849,-45.66324416,19.14534147,White,Left Cerebral White Matter,Unknown,L PCC,L CG,Unknown,WM,WM
LpCWr3,Unknown,-14.75247276,-33.21768951,16.14056093,-15.46254537,-46.58421095,19.47182234,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LpCWr4,Unknown,-19.55139387,-34.01704812,16.14056093,-20.67827591,-47.42346617,19.79446258,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LpCWr5,Unknown,-24.35031497,-35.21608603,16.14056093,-25.96533928,-48.63384314,20.14515347,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LpCWr6,Unknown,-29.54914618,-36.01544464,15.74079132,-31.66884956,-49.46985644,19.97778941,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
