label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,ManualExamination,final_loc
LaCaS1,A32sg_L,-8.551953,47.5607516,20.57444,-7.3640958,42.8794423,7.81640207,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,,Left cingulate gyrus F
LaCaS10,Unknown,-17.348071,64.3468993,55.3312626,-15.943065,67.8275661,42.142829,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LaCaS11,Unknown,-17.747895,65.5459098,58.1277885,-16.252304,69.7499743,44.9506487,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LaCaS12,Unknown,-17.747895,65.94558,59.7258034,-16.193126,70.5544532,46.6419116,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LaCaS2,A32p_L,-9.7514236,49.5591025,24.9689808,-8.6003868,46.0748695,12.3321961,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L ACC,L CG,Left frontal pole 4 A,,Left frontal pole 4 A
LaCaS3,A10m_L,-10.950894,51.5574534,29.3635216,-9.7619322,49.2505444,16.7833654,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Unknown,Left frontal pole 4 A,Left frontal pole 4 A
LaCaS4,A10m_L,-12.150365,53.5558043,33.3585587,-10.968604,52.3221254,20.7603805,White,Left Cerebral White Matter,Unknown,L Superior Medial Gyrus,L SFG,Left frontal pole 4 A,WM,WM
LaCaS5,A9l_L,-13.349836,55.5541552,37.7530994,-12.124625,55.3963183,25.1695491,White,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 1 D,,Left superior frontal gyrus 1 D
LaCaS6,A9l_L,-14.549306,57.5525061,42.1476402,-13.346912,58.3578848,29.5313326,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 1 D,,Left superior frontal gyrus 1 D
LaCaS7,A9l_L,-15.348953,59.9505273,46.1426773,-14.1509,61.5437817,33.2591759,Unknown,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 1 D,OOB,OOB
LaCaS8,Unknown,-16.1486,61.549208,49.7382107,-14.897851,63.7865164,36.7411008,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LaCaS9,Unknown,-16.1486,63.5475589,52.9342403,-14.741576,66.3815422,39.6459646,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LAglT1,mAmyg_L,-19.347189,11.590435,-14.581886,-19.950266,-2.1398186,-23.445152,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Amyg,Left amygdala inferior,,Left amygdala inferior
LAglT2,mAmyg_L,-24.145071,11.1907648,-14.98139,-25.06649,-2.4490336,-23.71977,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Amyg,Left amygdala inferior,,Left amygdala inferior
LAglT3,lAmyg_L,-29.342777,10.3914245,-14.98139,-30.590126,-3.0673964,-23.470492,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Amyg,Left amygdala inferior,,Left amygdala inferior
LAglT4,Unknown,-34.14066,9.99175429,-15.380894,-35.637897,-3.4449302,-23.735071,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LAglT5,Unknown,-39.338366,9.59208411,-15.380894,-41.061474,-3.740264,-23.626693,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LAglT6,A22r_L,-44.136249,9.19241393,-15.780397,-46.113248,-4.242816,-24.101781,White,Left Cerebral White Matter,Unknown,L Middle Temporal Gyrus,L STG,Unknown,WM,WM
LAglT7,A21r_L,-48.934131,8.39307356,-15.780397,-51.180879,-5.0866808,-23.973502,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus A,,Left superior middle temporal gyrus A
LAglT8,A21r_L,-54.131837,7.99340338,-16.179901,-56.643058,-5.7497691,-24.460874,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,,Left inferior middle temporal gyrus A
LAglT9,A21r_L,-58.92972,7.59373319,-16.579405,-61.703087,-6.4211576,-24.952752,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus A,,Left inferior middle temporal gyrus A
LCMiP1,mPFtha_L,-4.5537175,-11.190765,0.59925461,-4.105308,-22.099618,0.01071413,Gray,Left Thalamus Proper,Thal: Prefrontal,L Thalamus,L Tha,Unknown,Left Thalamus,Left Thalamus
LCMiP10,A41/42_L,-43.336601,-31.973615,9.78783989,-44.832425,-41.372952,16.1836691,Gray,Left Cerebral White Matter,Area PFcm (IPL),L Superior Temporal Gyrus,L STG,Unknown,Left superior temporal gyrus G,Left superior temporal gyrus G
LCMiP11,A41/42_L,-47.734661,-34.371636,10.986351,-49.23022,-43.82011,18.0653268,White,Left Cerebral White Matter,Area PFcm (IPL),L Superior Temporal Gyrus,L STG,Left superior temporal gyrus G,WM,WM
LCMiP12,cpSTS_L,-52.13272,-36.369987,11.7853584,-53.673756,-45.864391,19.4240773,White,Left SMG supramarginal gyrus,Unknown,L Superior Temporal Gyrus,L pSTS,Left superior temporal gyrus G,WM,WM
LCMiP13,A40c_L,-55.731131,-38.368338,12.9838696,-57.314672,-47.757076,21.2328119,White,Left SMG supramarginal gyrus,Unknown,L Superior Temporal Gyrus,L IPL,Left superior temporal gyrus G,WM,WM
LCMiP14,A40c_L,-60.12919,-40.766359,13.782877,-61.716434,-50.141158,22.6809348,Gray,Left SMG supramarginal gyrus,Area PFm (IPL),L Superior Temporal Gyrus,L IPL,Left supramarginal gyrus 5 E,,Left supramarginal gyrus 5 E
LCMiP2,lPFtha_L,-8.9517765,-13.588787,1.79776573,-8.8110609,-24.379942,2.1140646,Gray,Left Thalamus Proper,Thal: Prefrontal,L Thalamus,L Tha,Unknown,Left Thalamus,Left Thalamus
LCMiP3,PPtha_L,-13.349836,-15.587137,2.59677315,-13.44364,-26.319165,3.67924227,Gray,Left Thalamus Proper,Thal: Temporal,L Thalamus,L Tha,Unknown,Left Thalamus,Left Thalamus
LCMiP4,PPtha_L,-17.747895,-17.585488,3.79528427,-18.073615,-28.085664,5.67520581,White,Left Thalamus Proper,Thal: Parietal,L Thalamus,L Tha,Unknown,Left Thalamus,Left Thalamus
LCMiP5,Otha_L,-22.145954,-19.983509,4.59429169,-22.752603,-30.285812,7.33426117,White,Left Thalamus Proper,Thal: Parietal,Unknown,L Tha,Unknown,Left Thalamus,Left Thalamus
LCMiP6,Unknown,-26.544013,-22.381531,5.79280281,-27.43576,-32.421138,9.38831993,White,Left Cerebral White Matter,Thal: Parietal,Unknown,Unknown,Unknown,WM,WM
LCMiP7,Unknown,-30.942072,-24.779552,6.99131393,-32.063584,-34.608583,11.327819,White,Left Cerebral White Matter,Unknown,Unknown,Unknown,Unknown,WM,WM
LCMiP8,A41/42_L,-34.940307,-27.177573,7.79032135,-36.273452,-36.795791,12.8563342,Gray,Left PT planum temporale,Area TE 11,L Superior Temporal Gyrus,L STG,Unknown,Left superior temporal gyrus F,Left superior temporal gyrus F
LCMiP9,A41/42_L,-39.338366,-29.575594,8.58932877,-40.802336,-39.043237,14.3031123,Gray,Left PT planum temporale,Area PFcm (IPL),L Superior Temporal Gyrus,L STG,Left superior temporal gyrus F,,Left superior temporal gyrus F
LHplT1,rHipp_L,-19.747012,0.79934007,-14.182383,-20.384782,-13.096608,-20.150664,Gray,Left Hippocampus,CA1 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,subiculum,Left hippocampus pes
LHplT10,A21c_L,-62.128308,-14.787797,-11.385857,-64.642162,-28.79352,-13.114251,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus D,,Left inferior middle temporal gyrus D
LHplT11,A21c_L,-66.926191,-15.986808,-10.986353,-69.714475,-29.96244,-12.338377,Gray,Left MTG middle temporal gyrus,Unknown,L Middle Temporal Gyrus,L MTG,Left inferior middle temporal gyrus D,OOB,OOB
LHplT12,Unknown,-70.924426,-17.985159,-10.586849,-73.998689,-31.946536,-11.325291,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,OOB
LHplT2,rHipp_L,-24.544895,-0.7993407,-13.782879,-25.463618,-14.483559,-19.131149,Gray,Left Hippocampus,CA3 (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,subiculum,Left hippocampus pes
LHplT3,cHipp_L,-29.342777,-2.3980214,-13.782879,-30.505749,-15.992466,-18.55739,Gray,Left Hippocampus,DG (Hippocampus),L Hippocampus,L Hipp,Left hippocampus pes,CA1,Left hippocampus pes
