label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
RHplT4,A20rv_R,34.9294883,-3.993522406,-15.40000272,40.43581624,-15.36587949,-21.21912074,Gray,Right Cerebral White Matter,CA1 (Hippocampus),R Hippocampus,R FuG,Unknown,Right hippocampus pes,CA1
RHplT5,A20iv_R,40.11901188,-4.792228699,-15.40000272,46.58493224,-16.25438333,-21.20300096,White,Right Cerebral White Matter,Unknown,R Inferior Temporal Gyrus,R ITG,Unknown,WM,
RHplT6,A20il_R,44.90934134,-5.590934992,-15.40000272,52.22439417,-17.24041411,-21.33992667,Gray,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R ITG,Right inferior middle temporal gyrus B,,
RHplT7,A21c_R,49.69967079,-5.990288138,-15.40000272,57.72630214,-17.73225796,-21.32377948,Gray,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R MTG,Right inferior middle temporal gyrus B,,
RHplT8,A21c_R,54.88919437,-6.788994431,-15.40000272,63.66379563,-18.6991216,-21.26578042,Gray,Right MTG middle temporal gyrus,Unknown,R Inferior Temporal Gyrus,R MTG,Right inferior middle temporal gyrus B,,
RHplT9,A21c_R,60.07871795,-7.587700725,-15.40000272,69.63100542,-19.70490937,-21.27718182,Gray,Right MTG middle temporal gyrus,Unknown,R Middle Temporal Gyrus,R MTG,Right inferior middle temporal gyrus B,OOB,
RmCmS1,A24rv_R,5.389123321,15.17542863,28.99999464,6.323430402,5.506136087,30.44835672,Gray,Right MCgG middle cingulate gyrus,Area 33,R MCC,R CG,Right cingulate gyrus J,,
RmCmS10,Unknown,22.55447054,25.95796359,68.99999225,24.76005144,19.44554579,79.38919659,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
RmCmS2,A24cd_R,6.985899806,16.37348807,33.39999437,8.132787568,6.742990724,35.74183743,Gray,Right MCgG middle cingulate gyrus,Unknown,R MCC,R CG,Right cingulate gyrus J,,
RmCmS3,A8m_R,8.981870413,17.97090065,37.79999411,10.24513864,8.517459993,40.98696746,Gray,Right SMC supplementary motor cortex,Unknown,R MCC,R SFG,Right superior frontal gyrus 5 A,,
RmCmS4,A8m_R,10.97784102,19.16896009,42.19999385,12.344462,9.958476008,46.29056222,Gray,Right SMC supplementary motor cortex,Unknown,R Posterior-Medial Frontal,R SFG,Right superior frontal gyrus 5 A,,
RmCmS5,Unknown,12.97381163,20.36701953,46.59999359,14.57486857,11.45642015,51.6118845,White,Right Cerebral White Matter,Unknown,R Superior Frontal Gyrus,Unknown,Unknown,WM,
RmCmS6,A6dl_R,14.96978223,21.56507897,50.99999332,16.74554991,12.98642686,56.96621626,White,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 5 D,,
RmCmS7,A6dl_R,16.96575284,22.76313841,55.79999304,18.82659636,14.58695857,62.76602025,White,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 5 D,WM,
RmCmS8,A8dl_R,18.56252933,23.96119785,59.7999928,20.46595233,16.23045079,67.63857757,Gray,Right SFG superior frontal gyrus,Unknown,R Superior Frontal Gyrus,R SFG,Right superior frontal gyrus 5 D,,
RmCmS9,Unknown,20.55849993,25.15925729,64.19999254,22.59018388,18.03344383,73.23040185,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
RmOlF1,A11l_R,10.97784102,36.74049854,-15.40000272,12.74358564,27.89233555,-26.21981181,Gray,Right MOrG medial orbital gyrus,Area Fo1,R Superior Orbital Gyrus,R OrG,Right frontal orbital 4 B,,
RmOlF2,A11l_R,13.77219987,37.13985169,-13.40000284,15.84245411,28.43499239,-23.70361946,Gray,Right MOrG medial orbital gyrus,Area Fo3,R Superior Orbital Gyrus,R OrG,Right frontal orbital 4 B,WM,
