label,BN246label,x,y,z,mni_x,mni_y,mni_z,gm,NMM,Anat,AnatMacro,BN246,YBA_1,Manual Examination,Notes
LaCaS1,A32sg_L,-8.952586889,42.76535076,7.745168924,-9.250443053,36.45228665,-8.560292825,Gray,Left ACgG anterior cingulate gyrus,Area s32,L Mid Orbital Gyrus,L CG,Left cingulate gyrus D,,
LaCaS10,A9l_L,-11.35173416,49.16016906,52.91787469,-10.7052198,54.79587695,41.88639497,Gray,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Left superior frontal gyrus 2 C,,
LaCaS11,Unknown,-11.35173416,49.16016906,57.71497619,-10.79016953,56.51147253,47.58941513,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LaCaS12,Unknown,-11.35173416,49.16016906,62.11231923,-10.77980034,58.09086539,52.76176437,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,OOB,
LaCaS2,A32sg_L,-9.352444768,43.56470305,12.94202888,-9.498693453,38.67578481,-2.957526482,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,
LaCaS3,A32sg_L,-9.752302647,44.36405534,18.13888884,-9.772869934,40.69067411,2.754881147,Gray,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus E,,
LaCaS4,A32p_L,-9.752302647,44.76373148,22.93599033,-9.639901927,42.15399437,8.179342789,White,Left ACgG anterior cingulate gyrus,Unknown,L ACC,L CG,Left cingulate gyrus F,WM,
LaCaS5,A32p_L,-10.15216053,45.56308377,28.13285029,-9.699850984,44.27616929,13.99575211,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L ACC,L CG,Left frontal pole 4 A,,
LaCaS6,A10m_L,-10.5520184,46.36243606,32.92995179,-9.844310138,46.34498277,19.36060179,Gray,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left frontal pole 4 A,,
LaCaS7,A10m_L,-10.5520184,46.7621122,38.12681174,-9.713548368,48.14540383,25.34154125,White,Left MSFG superior frontal gyrus medial segment,Unknown,L Superior Medial Gyrus,L SFG,Left superior frontal gyrus 1 A,,
LaCaS8,A9l_L,-10.95187628,47.56146449,42.92391324,-10.20706971,50.28357497,30.74013243,White,Left Cerebral White Matter,Unknown,L Superior Medial Gyrus,L SFG,Unknown,WM,
LaCaS9,A9l_L,-11.35173416,47.96114063,48.1207732,-10.61145742,52.10703579,36.66802,White,Left SFG superior frontal gyrus,Unknown,L Superior Frontal Gyrus,L SFG,Unknown,WM,
LAgIT1,mAmyg_L,-17.34960234,13.58899224,-16.24033856,-18.10646744,-2.015487089,-23.94970114,Gray,Left Ent entorhinal area,Amygdala (LB),L ParaHippocampal Gyrus,L Amyg,Left amygdala inferior,,
LAgIT10,aSTS_L,-60.93411112,1.19903177,-12.24275398,-66.70220646,-14.16506772,-11.7745588,Gray,Left MTG middle temporal gyrus,Area TE 3,L Middle Temporal Gyrus,L MTG,Left superior middle temporal gyrus B,OOB,
LAgIT2,rHipp_L,-22.14789689,11.99028766,-16.24033856,-23.28645353,-3.795461291,-22.83465208,Gray,Left Amygdala,Amygdala (LB),L Amygdala,L Hipp,Left amygdala inferior,,
LAgIT3,rHipp_L,-26.94619143,10.79125923,-15.84058011,-28.46954115,-5.034183715,-21.48820782,Gray,Left Amygdala,Amygdala (LB),L Hippocampus,L Hipp,Left amygdala inferior,,
LAgIT4,lAmyg_L,-31.74448597,9.192554653,-15.04106319,-33.65154858,-6.61379857,-19.66247897,White,Left Cerebral White Matter,Amygdala (AStr),L Hippocampus,L Amyg,Unknown,Left amygdala inferior,borderline WM
