ch_name,subject,aperiodic_exponent,aperiodic_offset,error,r^2,uniqueID
lacas1-lacas2,MS018,1.2515827723733102,-11.210661218560269,0.027736943217860983,0.9922747234956948,lacas1-lacas2_MS018
lacas2-lacas3,MS018,1.8104442582601017,-9.197204749102685,0.06835449660805609,0.9793573211302945,lacas2-lacas3_MS018
lacas3-lacas4,MS018,1.6498162831602496,-9.40357893575872,0.0805478415209495,0.9668520752902214,lacas3-lacas4_MS018
lacas4-lacas5,MS018,1.4133654385533903,-9.621179995745077,0.05837069623302294,0.9682387640611845,lacas4-lacas5_MS018
lacas5-lacas6,MS018,1.4217887952204136,-9.457868478951408,0.0697174149507642,0.9569704639728426,lacas5-lacas6_MS018
lacas6-lacas7,MS018,1.3174985394817464,-10.008359182983115,0.07481741937239642,0.9457732810433139,lacas6-lacas7_MS018
laglt1-laglt2,MS018,1.8688480472829532,-9.534460221133985,0.03646037158242523,0.9945739367528946,laglt1-laglt2_MS018
laglt2-laglt3,MS018,1.9673332407736808,-9.851724800324087,0.02969246569185232,0.9964361507689339,laglt2-laglt3_MS018
laglt4-laglt5,MS018,1.5036560366761407,-10.204138923810648,0.054434443344585845,0.9824935851213156,laglt4-laglt5_MS018
laglt5-laglt6,MS018,1.3761795017299217,-10.168533851526238,0.05945751659615054,0.9770648253887465,laglt5-laglt6_MS018
laglt7-laglt8,MS018,1.7908492822969517,-9.61863710368443,0.044059737052773724,0.9941648181414118,laglt7-laglt8_MS018
laisf1-laisf2,MS018,1.7421116161403236,-9.418198610637516,0.06083886904220556,0.984326719749584,laisf1-laisf2_MS018
laisf2-laisf3,MS018,1.798141860113205,-9.137438620945508,0.04699063973626007,0.9913358893871765,laisf2-laisf3_MS018
laisf3-laisf4,MS018,1.2104488503522128,-10.122720981626113,0.04539948138384112,0.9844431924251748,laisf3-laisf4_MS018
laisf4-laisf5,MS018,1.3819020267302495,-9.602402985459099,0.0738075662716019,0.9766741471070084,laisf4-laisf5_MS018
laisf5-laisf6,MS018,1.5000963196274688,-9.103022562647935,0.0691683841742329,0.978283909949029,laisf5-laisf6_MS018
laisf6-laisf7,MS018,1.2800057683969412,-10.56451074349149,0.08163903281446616,0.968922449234548,laisf6-laisf7_MS018
laisf7-laisf8,MS018,1.5855304881623475,-9.657386407708534,0.10274520364326596,0.9525067831648293,laisf7-laisf8_MS018
laisf8-laisf9,MS018,1.730762093374564,-9.316162722363694,0.06814635987139094,0.9772828572834741,laisf8-laisf9_MS018
laisf9-laisf10,MS018,1.4199317420953828,-10.027269369665675,0.059186604526493984,0.980514517802466,laisf9-laisf10_MS018
laisf10-laisf11,MS018,1.4381696268645356,-9.709943788549019,0.12447125929912212,0.93853300275224,laisf10-laisf11_MS018
laisf11-laisf12,MS018,1.2641713865725173,-10.035272256387607,0.06128365503667891,0.9683037095397453,laisf11-laisf12_MS018
laisf12-laisf13,MS018,1.283457334379503,-9.796216408412654,0.07386402760243738,0.9654634378528779,laisf12-laisf13_MS018
lcmip1-lcmip2,MS018,2.1035850927980264,-9.49682001517547,0.07587158093952097,0.9847013033458448,lcmip1-lcmip2_MS018
lcmip2-lcmip3,MS018,1.9921856960246331,-9.950131210599698,0.03138855106616245,0.9965651130830964,lcmip2-lcmip3_MS018
lcmip3-lcmip4,MS018,1.6441463057621446,-10.480882439305402,0.0483276684315459,0.9882704312982825,lcmip3-lcmip4_MS018
lcmip4-lcmip5,MS018,1.5426881294013324,-9.926394970883543,0.046857288634028535,0.9854869224894237,lcmip4-lcmip5_MS018
lcmip5-lcmip6,MS018,1.6669509283094053,-9.222869725238674,0.0537184700167479,0.9864421088803323,lcmip5-lcmip6_MS018
lcmip6-lcmip7,MS018,1.5510082965738452,-9.063601533079288,0.08763843661057612,0.9744047755085483,lcmip6-lcmip7_MS018
lcmip7-lcmip8,MS018,1.1810538252548362,-9.661330207675574,0.08971278831513804,0.9575686332234123,lcmip7-lcmip8_MS018
lcmip8-lcmip9,MS018,1.4393180410897097,-9.842269311987744,0.06636926075537213,0.9795065371042194,lcmip8-lcmip9_MS018
lcmip9-lcmip10,MS018,1.592489761482472,-9.123792683223904,0.09332135402648815,0.9738713560158033,lcmip9-lcmip10_MS018
lcmip10-lcmip11,MS018,1.7205152558726045,-8.797970380093183,0.04949320939430377,0.989161252641762,lcmip10-lcmip11_MS018
lcmip11-lcmip12,MS018,1.6001396941897024,-9.299442920006078,0.0980864133210572,0.9733708203655718,lcmip11-lcmip12_MS018
lhplt1-lhplt2,MS018,2.0386533719469093,-8.686159873986584,0.034895166245427524,0.9947576719415856,lhplt1-lhplt2_MS018
lhplt2-lhplt3,MS018,2.0874703257294813,-8.681983616460665,0.02822765359976493,0.99635260084394,lhplt2-lhplt3_MS018
lhplt3-lhplt4,MS018,2.280429314208324,-8.96127980471848,0.029805449450198623,0.9972003967780473,lhplt3-lhplt4_MS018
lhplt4-lhplt5,MS018,1.4523846269755079,-10.14870789658729,0.025814374580904624,0.9947385167193761,lhplt4-lhplt5_MS018
lhplt5-lhplt6,MS018,1.3734462015113387,-10.10759359682213,0.05076313699863201,0.9833048174535728,lhplt5-lhplt6_MS018
lhplt8-lhplt9,MS018,1.6036900506984095,-9.579983741987403,0.047646128458680506,0.9911084646581871,lhplt8-lhplt9_MS018
lmcms1-lmcms2,MS018,0.76739308311351,-10.299267336007944,0.04002444072628157,0.9594927293115182,lmcms1-lmcms2_MS018
lmcms2-lmcms3,MS018,1.3905422204759115,-9.901926264688772,0.04000881778076731,0.9874737695133629,lmcms2-lmcms3_MS018
lmcms3-lmcms4,MS018,1.3427395086893934,-9.460617698632422,0.05144293589472645,0.9805877204991308,lmcms3-lmcms4_MS018
lmcms4-lmcms5,MS018,1.3019025373843804,-9.761031655197423,0.04900455011372213,0.9855362170113137,lmcms4-lmcms5_MS018
lmcms7-lmcms8,MS018,0.8991731660182962,-10.052350794119532,0.09986268175479136,0.9501624602182708,lmcms7-lmcms8_MS018
lmolf1-lmolf2,MS018,1.6229890953350448,-9.382732730640727,0.05500804698385155,0.9876908187365357,lmolf1-lmolf2_MS018
lmolf2-lmolf3,MS018,1.3368683696658008,-9.780955886907323,0.08013690385122578,0.9647087079430261,lmolf2-lmolf3_MS018
lmolf3-lmolf4,MS018,1.5051226113259253,-9.488884803941813,0.05454908263452543,0.984837932080083,lmolf3-lmolf4_MS018
lmolf4-lmolf5,MS018,1.6906777812376663,-9.075789562749511,0.06563246813727591,0.9845942629048482,lmolf4-lmolf5_MS018
