ch_name,subject,aperiodic_exponent,aperiodic_offset,error,r^2,uniqueID
lacas1-lacas2,MS024,1.712666788302258,-10.615070540400149,0.02349448058946028,0.9970689508837912,lacas1-lacas2_MS024
lacas2-lacas3,MS024,1.724482842700626,-11.174138933878146,0.029977012907641994,0.9951952069344365,lacas2-lacas3_MS024
lacas4-lacas5,MS024,1.7385433852240204,-10.469593827727918,0.025537438943275783,0.9957106596588481,lacas4-lacas5_MS024
lacas5-lacas6,MS024,1.5447458698126777,-10.1492818771783,0.022989896635984768,0.9965988828235924,lacas5-lacas6_MS024
lacas6-lacas7,MS024,1.5973220673308839,-9.79039259849377,0.023011694122673627,0.9968058728610584,lacas6-lacas7_MS024
lacas7-lacas8,MS024,1.457163807209948,-10.576080788550742,0.03273455421525356,0.9917050531089596,lacas7-lacas8_MS024
lacas8-lacas9,MS024,1.5285498460313378,-10.041576289297206,0.020457272233285542,0.9972846035248478,lacas8-lacas9_MS024
lacas9-lacas10,MS024,1.86917126551442,-9.245426691142221,0.02414628757516135,0.9974628509262999,lacas9-lacas10_MS024
lacas10-lacas11,MS024,1.2818778025397457,-10.275141891390497,0.030053765546646977,0.9914152814704983,lacas10-lacas11_MS024
lagit1-lagit2,MS024,1.9321538657620627,-9.653152097499397,0.024056064743160275,0.9976575652191929,lagit1-lagit2_MS024
lagit2-lagit3,MS024,1.734499269846285,-10.038709829033216,0.040071385505554884,0.9919272804237204,lagit2-lagit3_MS024
lagit3-lagit4,MS024,2.1862303873504736,-9.787830520165322,0.05178714904223644,0.9900584898117928,lagit3-lagit4_MS024
lagit4-lagit5,MS024,2.0403375864434787,-10.1002895945816,0.026373623799428432,0.9969763413437347,lagit4-lagit5_MS024
lagit6-lagit7,MS024,2.023213868815979,-9.46033360531538,0.024700192348825853,0.997755349213456,lagit6-lagit7_MS024
lagit7-lagit8,MS024,2.0916998206154918,-8.998924265405947,0.03274499094683965,0.9968491124894479,lagit7-lagit8_MS024
lagit8-lagit9,MS024,2.0864479810543157,-9.105997761067135,0.0272562754829447,0.9976964362618383,lagit8-lagit9_MS024
lagit9-lagit10,MS024,1.9840562589042385,-9.47574904085666,0.025271966939907697,0.9975940109822208,lagit9-lagit10_MS024
lagit10-lagit11,MS024,2.2584319739759757,-9.160407709872013,0.0307291307170114,0.9966309607224395,lagit10-lagit11_MS024
laimm1-laimm2,MS024,1.7530841901360894,-9.894615718637542,0.022810548875880233,0.9975471366792987,laimm1-laimm2_MS024
laimm2-laimm3,MS024,1.7974823692007007,-9.694457434468738,0.03276791418081364,0.9936006181709836,laimm2-laimm3_MS024
laimm3-laimm4,MS024,1.6882950990418164,-9.762259229369713,0.026742008811275916,0.9954309661152048,laimm3-laimm4_MS024
laimm4-laimm5,MS024,1.5318977465308903,-9.911280336804756,0.031097427853574226,0.9927222509603357,laimm4-laimm5_MS024
laimm5-laimm6,MS024,1.5362897911099256,-9.900037364157352,0.02917778877129002,0.9945261676602657,laimm5-laimm6_MS024
laimm10-laimm11,MS024,1.0289897758167974,-10.862519187566422,0.033481945993870485,0.9852030887644924,laimm10-laimm11_MS024
laimm11-laimm12,MS024,1.0180619743374808,-10.920976018724033,0.04031058132538901,0.9772274764955328,laimm11-laimm12_MS024
