ch_name,subject,aperiodic_exponent,aperiodic_offset,error,r^2,uniqueID
lacas1-lacas2,MS006,1.7991510795264662,-9.662513562172078,0.04952554221223005,0.9885485776659813,lacas1-lacas2_MS006
lacas2-lacas3,MS006,1.604141386410718,-9.926051022776013,0.03531542815251122,0.9937379730258905,lacas2-lacas3_MS006
lacas3-lacas4,MS006,1.8995668902400158,-9.17941088384063,0.032382405373968796,0.9946516700748462,lacas3-lacas4_MS006
lacas4-lacas5,MS006,1.7037684611630926,-9.42349808352538,0.06378245799935217,0.9847265508299182,lacas4-lacas5_MS006
lacas5-lacas6,MS006,1.742840974738533,-10.005531189127238,0.03548592962307576,0.9947426827007515,lacas5-lacas6_MS006
lacas6-lacas7,MS006,1.753920402047668,-9.848225421903848,0.04170995915414002,0.9922568474176078,lacas6-lacas7_MS006
lacas7-lacas8,MS006,1.7638606519468256,-9.607495594213434,0.05018923495862877,0.9910694269398748,lacas7-lacas8_MS006
lacas8-lacas9,MS006,1.863255310463625,-9.335374444520866,0.05589818675738399,0.9898494517791527,lacas8-lacas9_MS006
lacas9-lacas10,MS006,1.9467765639088606,-9.355885052944835,0.04100082690638823,0.9940668358111824,lacas9-lacas10_MS006
lacas10-lacas11,MS006,2.0798975993389153,-8.63027756691614,0.07970203458676876,0.9831418661849568,lacas10-lacas11_MS006
laglt1-laglt2,MS006,2.1039275045686985,-8.913095080613832,0.025081117015646113,0.9979633043076906,laglt1-laglt2_MS006
laglt2-laglt3,MS006,2.0680599565658393,-9.318190789740612,0.031074787093388807,0.9969519045876666,laglt2-laglt3_MS006
laglt3-laglt4,MS006,2.104958887069969,-9.557536223635738,0.028886570907534756,0.997171759592225,laglt3-laglt4_MS006
laglt4-laglt5,MS006,1.9985267147731727,-9.721036538138444,0.028107274238765956,0.9961949210686305,laglt4-laglt5_MS006
laglt5-laglt6,MS006,2.085749404862861,-9.090307515000232,0.03642302405212116,0.992768551912787,laglt5-laglt6_MS006
laglt6-laglt7,MS006,2.2799350952118904,-8.073131776476064,0.1107907009599412,0.9699233368025896,laglt6-laglt7_MS006
laglt7-laglt8,MS006,1.9986266697361212,-8.784249047847188,0.07125699078132364,0.9852505072903219,laglt7-laglt8_MS006
laglt8-laglt9,MS006,2.097386862105865,-8.975451320630343,0.040841576622760924,0.9934953244386858,laglt8-laglt9_MS006
lhplt1-lhplt2,MS006,1.798531725858302,-8.356589361308643,0.03283540769794109,0.9931618737981943,lhplt1-lhplt2_MS006
lhplt2-lhplt3,MS006,1.8351973183099546,-8.198540638403069,0.022479474261945555,0.9971527508131347,lhplt2-lhplt3_MS006
lhplt3-lhplt4,MS006,1.8897488311481312,-9.335942418143766,0.027231473608674714,0.9971893146561316,lhplt3-lhplt4_MS006
lhplt5-lhplt6,MS006,1.9783114370824546,-9.094116913213535,0.06758155890739402,0.9878776722762032,lhplt5-lhplt6_MS006
lhplt6-lhplt7,MS006,2.323937829739344,-8.385561493484522,0.04844501743263029,0.9916060663442202,lhplt6-lhplt7_MS006
lhplt7-lhplt8,MS006,2.0488695812220197,-9.186771197509925,0.05685997136063895,0.9888320011678349,lhplt7-lhplt8_MS006
lmcms2-lmcms3,MS006,1.797607779687006,-9.368676630088247,0.03838022705187856,0.9932190069893353,lmcms2-lmcms3_MS006
lmcms3-lmcms4,MS006,1.576567453993905,-9.588236945505413,0.038129700185443205,0.9916362220213789,lmcms3-lmcms4_MS006
lmcms6-lmcms7,MS006,1.8286813960695016,-9.324614689209772,0.031916032877632235,0.9959575157506912,lmcms6-lmcms7_MS006
lmcms7-lmcms8,MS006,1.8707862454387727,-9.118502741147857,0.04141959038571395,0.9921757717315439,lmcms7-lmcms8_MS006
lmcms8-lmcms9,MS006,1.7819146576263787,-9.11217150036113,0.05039558042466375,0.9887565042160688,lmcms8-lmcms9_MS006
lmolf2-lmolf3,MS006,2.2271102680322135,-8.71848901709456,0.08143511756739527,0.9844926120943048,lmolf2-lmolf3_MS006
lmolf3-lmolf4,MS006,2.2264716348802263,-8.54753718807394,0.11189374122939001,0.971269817406968,lmolf3-lmolf4_MS006
lmolf4-lmolf5,MS006,1.7444381861603833,-9.116922018464509,0.032958680236159825,0.992745750844201,lmolf4-lmolf5_MS006
lmolf8-lmolf9,MS006,2.3530676835524447,-8.271630684542968,0.1006670299119157,0.9730672467376539,lmolf8-lmolf9_MS006
lmtpt1-lmtpt2,MS006,1.9701666267932987,-8.33888760231309,0.05576592279741702,0.9924496129835686,lmtpt1-lmtpt2_MS006
lmtpt2-lmtpt3,MS006,1.6473246622414426,-9.210005493948191,0.07816722173961409,0.9787214882749751,lmtpt2-lmtpt3_MS006
lmtpt3-lmtpt4,MS006,1.6979906263940392,-9.28645371663176,0.04713338437120458,0.9896059735386606,lmtpt3-lmtpt4_MS006
lmtpt6-lmtpt7,MS006,2.013773031170711,-9.176993115450877,0.1041161720368878,0.967625137063397,lmtpt6-lmtpt7_MS006
lmtpt7-lmtpt8,MS006,1.9289099915684698,-9.426050163157674,0.07361825720854966,0.9816407021721009,lmtpt7-lmtpt8_MS006
lmtpt8-lmtpt9,MS006,1.98219774916638,-9.151265496131952,0.07279917550001938,0.982311423875387,lmtpt8-lmtpt9_MS006
lmtpt9-lmtpt10,MS006,2.1653728341238088,-8.79617882138726,0.061065092302640706,0.9882607863737379,lmtpt9-lmtpt10_MS006
racas1-racas2,MS006,2.084969509032919,-9.387367341425344,0.053665209732974985,0.9892615959997976,racas1-racas2_MS006
racas2-racas3,MS006,2.112544676959726,-9.503618230069135,0.03762145069338507,0.9948615854708769,racas2-racas3_MS006
racas4-racas5,MS006,2.016090639647838,-9.438903819494573,0.03833573033873756,0.9951297115986313,racas4-racas5_MS006
racas5-racas6,MS006,1.6371545527636993,-10.265744557565574,0.03012907257695398,0.9949760150575836,racas5-racas6_MS006
racas6-racas7,MS006,1.7749624521289717,-9.425023333155986,0.042247066967476925,0.9925839400519215,racas6-racas7_MS006
racas7-racas8,MS006,1.7077317750926504,-9.71622695913178,0.04289260730196834,0.9912578343030303,racas7-racas8_MS006
racas8-racas9,MS006,1.6001806464126929,-10.251693124006634,0.0472050922688993,0.9886638239321545,racas8-racas9_MS006
rhplt1-rhplt2,MS006,1.6006320054607295,-8.936196686659015,0.030173532231487995,0.9942071297490547,rhplt1-rhplt2_MS006
rhplt2-rhplt4,MS006,1.575010063663284,-8.857495639508695,0.030725517762402937,0.9933886898140646,rhplt2-rhplt4_MS006
rhplt4-rhplt5,MS006,1.7593746532383994,-9.864010249987928,0.0365795782322207,0.9916668684020056,rhplt4-rhplt5_MS006
rhplt5-rhplt6,MS006,2.2021185879267753,-8.782347800671493,0.04504330799291994,0.9924769673070541,rhplt5-rhplt6_MS006
rhplt6-rhplt7,MS006,1.8372191144656134,-9.211826190757957,0.043650260324159675,0.9932403031423083,rhplt6-rhplt7_MS006
rhplt7-rhplt8,MS006,2.0642139761385003,-8.903645126756812,0.05885516580111223,0.9839368267906502,rhplt7-rhplt8_MS006
rmcms1-rmcms2,MS006,1.6140643778310713,-9.801669476665367,0.058533124593036945,0.9824294966500094,rmcms1-rmcms2_MS006
rmcms2-rmcms3,MS006,1.297953925889616,-10.30096239030405,0.031559033186370496,0.9919691418975771,rmcms2-rmcms3_MS006
rmcms3-rmcms4,MS006,1.2610469661935484,-9.70859118815917,0.045733245061577533,0.9840010903726397,rmcms3-rmcms4_MS006
rmcms4-rmcms5,MS006,1.2161824402948667,-10.295369364916242,0.036646019154443,0.9881022008793254,rmcms4-rmcms5_MS006
rmcms5-rmcms6,MS006,1.2371401020032144,-10.187680677075354,0.04945534975734459,0.974400288709049,rmcms5-rmcms6_MS006
rmcms6-rmcms7,MS006,1.4067476129811374,-9.792989180608176,0.0639261837109821,0.9693176698885877,rmcms6-rmcms7_MS006
rmcms7-rmcms8,MS006,1.5895257136085215,-9.490540337808188,0.06601742836096727,0.9775295782982014,rmcms7-rmcms8_MS006
rmolf3-rmolf4,MS006,2.1494566202900915,-9.17607851085266,0.022970741226876788,0.9976495945751864,rmolf3-rmolf4_MS006
rmolf4-rmolf5,MS006,2.3320187143636613,-8.66483516058633,0.041509514440873495,0.995622814850787,rmolf4-rmolf5_MS006
rmolf5-rmolf6,MS006,2.2958290005433164,-8.366053419242633,0.0358331351914445,0.9953134811412199,rmolf5-rmolf6_MS006
rmolf6-rmolf7,MS006,1.6324377315511454,-9.283946425772205,0.0458787000274709,0.9897684820993727,rmolf6-rmolf7_MS006
rmolf7-rmolf8,MS006,1.5770598230117594,-9.292312281057947,0.0831530615299712,0.9606476604504944,rmolf7-rmolf8_MS006
rmolf8-rmolf9,MS006,1.490196947664916,-9.636455451725153,0.046920419183378,0.982699515724712,rmolf8-rmolf9_MS006
rmtpt1-rmtpt3,MS006,1.388163511149615,-9.183271289019865,0.09233304425124043,0.9613052907006432,rmtpt1-rmtpt3_MS006
rmtpt3-rmtpt4,MS006,1.9562020461203464,-9.259795584213856,0.0375191794783538,0.9943328207185014,rmtpt3-rmtpt4_MS006
rmtpt4-rmtpt6,MS006,2.0098067071126695,-9.00334684669298,0.07643111973430142,0.9811305973184765,rmtpt4-rmtpt6_MS006
rmtpt6-rmtpt7,MS006,2.1655171521141923,-8.756518777666358,0.0525378472718482,0.9895105906705534,rmtpt6-rmtpt7_MS006
rmtpt7-rmtpt8,MS006,2.2799384371411096,-8.501934046702027,0.06169411498409367,0.9872583706542085,rmtpt7-rmtpt8_MS006
rmtpt8-rmtpt9,MS006,2.4661671773896807,-8.66298886944871,0.0722721196738193,0.986348643298826,rmtpt8-rmtpt9_MS006
