ch_name,subject,aperiodic_exponent,aperiodic_offset,error,r^2,uniqueID
lacas1-lacas2,MS017,1.740089070640514,-10.128323911818994,0.03283889599513438,0.9951444052276213,lacas1-lacas2_MS017
lacas2-lacas3,MS017,1.8373519759623875,-10.096348807288646,0.02487345389250992,0.9970495451799197,lacas2-lacas3_MS017
lacas3-lacas4,MS017,1.5395074285076409,-10.308700076859989,0.021969555674137147,0.9966545101959495,lacas3-lacas4_MS017
lacas4-lacas5,MS017,1.9728028831729942,-9.027164443631815,0.020405496527825445,0.9980732604415438,lacas4-lacas5_MS017
lacas5-lacas6,MS017,1.6779763691097862,-9.57688547012762,0.029115241620511132,0.9951433282637149,lacas5-lacas6_MS017
lacas6-lacas7,MS017,1.6920494327051114,-9.802516474783003,0.03244875650028571,0.9944413458591457,lacas6-lacas7_MS017
lacas7-lacas8,MS017,1.4661893599011402,-10.288917763244719,0.02638667506829022,0.9939730210335027,lacas7-lacas8_MS017
lacas8-lacas9,MS017,1.4456915082615414,-10.209205468236554,0.03130454066192267,0.9919861320869239,lacas8-lacas9_MS017
lacas9-lacas10,MS017,1.689991115526372,-9.762158747338816,0.02793639369228391,0.9947193045808682,lacas9-lacas10_MS017
laglt1-laglt2,MS017,1.9284766584261375,-9.713138925405742,0.05086522320667663,0.9837608300649285,laglt1-laglt2_MS017
laglt2-laglt3,MS017,1.6344327390862565,-10.310363141639531,0.03106034599638557,0.9943042660420247,laglt2-laglt3_MS017
laglt4-laglt5,MS017,1.9970277512332681,-9.699631834422625,0.024044888167331427,0.9975204723904032,laglt4-laglt5_MS017
laglt5-laglt7,MS017,1.9385452513609567,-9.31678024644532,0.02437827907860299,0.9972838493649654,laglt5-laglt7_MS017
laglt7-laglt8,MS017,2.1063190060192873,-9.21496729643994,0.024669120229334006,0.9971936090087606,laglt7-laglt8_MS017
laglt8-laglt9,MS017,2.5696835584276436,-9.074073760315153,0.03099919039538257,0.9967324647206105,laglt8-laglt9_MS017
lalps1-lalps2,MS017,1.6646384271944565,-9.685799373746264,0.039980579297244884,0.9909078889873725,lalps1-lalps2_MS017
lalps2-lalps3,MS017,1.7177356256319587,-9.252752592552836,0.039802374667090294,0.9894426375903352,lalps2-lalps3_MS017
lalps3-lalps4,MS017,1.5807303858875708,-9.6722892075803,0.03672282573801434,0.9920801116674195,lalps3-lalps4_MS017
lalps9-lalps10,MS017,1.3516516403145409,-10.405304785081201,0.03529139569760399,0.9890598747749749,lalps9-lalps10_MS017
lalps10-lalps11,MS017,1.2552699770105518,-10.238819067847594,0.024516777864885528,0.9941942257950771,lalps10-lalps11_MS017
lalps11-lalps12,MS017,1.3677717026579708,-9.846983137540896,0.027852505811804693,0.9930331433694914,lalps11-lalps12_MS017
lalps12-lalps13,MS017,1.5570323449504333,-9.423781317940472,0.03088989552657626,0.9937373235672902,lalps12-lalps13_MS017
lhplt1-lhplt2,MS017,1.903944537801721,-8.58105057160682,0.026101578836695304,0.9969641304275833,lhplt1-lhplt2_MS017
lhplt2-lhplt3,MS017,1.5905386269421817,-9.171918490096202,0.027126879881682636,0.9965400064077555,lhplt2-lhplt3_MS017
lhplt7-lhplt8,MS017,1.8836589590274389,-9.417215678844698,0.026768884562276277,0.9963691079035162,lhplt7-lhplt8_MS017
lhplt8-lhplt9,MS017,1.7302655592497858,-9.668340885489716,0.022575395239735955,0.9968876959612292,lhplt8-lhplt9_MS017
lllt1-lllt2,MS017,1.6844258972178696,-9.742949131919143,0.024591318147080186,0.9966718663472987,lllt1-lllt2_MS017
lllt3-lllt4,MS017,1.4814454662235153,-9.415167841551845,0.02913704549237085,0.9944376817888307,lllt3-lllt4_MS017
lllt4-lllt5,MS017,1.631473992295884,-9.759980256329428,0.028090918143906338,0.9957325399330458,lllt4-lllt5_MS017
lllt5-lllt6,MS017,1.7954696568612547,-9.8553363803575,0.022966419615032808,0.9971746536132302,lllt5-lllt6_MS017
lmcms1-lmcms2,MS017,1.902598911297754,-9.30115412495735,0.036178530882372766,0.9934251281062244,lmcms1-lmcms2_MS017
lmcms2-lmcms3,MS017,1.768014705825922,-9.413102666403658,0.0282509392153607,0.9952182637053404,lmcms2-lmcms3_MS017
lmcms3-lmcms4,MS017,1.6090617159544462,-10.377181289821207,0.03805464240500008,0.9913519145983615,lmcms3-lmcms4_MS017
lmcms6-lmcms7,MS017,1.6599516152787648,-9.544003279153966,0.032864985054336146,0.9940667095737101,lmcms6-lmcms7_MS017
lmlbr1-lmlbr2,MS017,1.620366311238696,-9.675780894918484,0.030179362843296174,0.9928888630696583,lmlbr1-lmlbr2_MS017
lmlbr2-lmlbr3,MS017,1.4830231220656767,-9.834427378358388,0.021105143496403127,0.9965495822034753,lmlbr2-lmlbr3_MS017
lmlbr3-lmlbr4,MS017,1.5283852077245863,-9.830270323058087,0.03154745480621273,0.9930598521412708,lmlbr3-lmlbr4_MS017
lmolf1-lmolf2,MS017,1.3593872045342548,-10.49611324631446,0.030514587735138193,0.9895979714854287,lmolf1-lmolf2_MS017
lmolf2-lmolf3,MS017,1.3706874364954003,-10.566550439362947,0.04513096769467377,0.9789000413490544,lmolf2-lmolf3_MS017
lmolf3-lmolf4,MS017,1.7592772129535243,-9.95479823121786,0.043059435546126866,0.984024764887664,lmolf3-lmolf4_MS017
lmolf4-lmolf5,MS017,1.7414836229140096,-9.908819972235822,0.03460501186681329,0.9905856972185171,lmolf4-lmolf5_MS017
lmolf5-lmolf6,MS017,1.3860410131021565,-10.401522778392797,0.03951537583525037,0.986526672769659,lmolf5-lmolf6_MS017
lmolf6-lmolf7,MS017,1.5998832584745148,-9.595555622163806,0.03708682688159408,0.9892700122211127,lmolf6-lmolf7_MS017
lmolf7-lmolf8,MS017,1.3763189533293425,-9.991306007869921,0.035380861857134085,0.9847197269793251,lmolf7-lmolf8_MS017
lpcwr1-lpcwr2,MS017,1.5937437604817548,-9.547120653786697,0.024585774279420616,0.9971785147176132,lpcwr1-lpcwr2_MS017
lpcwr7-lpcwr8,MS017,1.5345571888668414,-9.66603944641596,0.03160311189914432,0.9940740224132715,lpcwr7-lpcwr8_MS017
lpcwr8-lpcwr9,MS017,1.632737190306558,-9.362128244428181,0.029542380899085532,0.9941805556722997,lpcwr8-lpcwr9_MS017
lpcwr9-lpcwr10,MS017,1.7238599792018332,-9.852756597270968,0.02849281935276026,0.9948035793582,lpcwr9-lpcwr10_MS017
lpcwr10-lpcwr11,MS017,1.7582356132546175,-9.736740695370075,0.04326667310044773,0.9883401227481103,lpcwr10-lpcwr11_MS017
lplsp1-lplsp2,MS017,1.248864817152408,-10.010588117351384,0.021201195860827006,0.9949364029519915,lplsp1-lplsp2_MS017
lplsp2-lplsp3,MS017,1.3452119377856713,-10.030137880887349,0.024904652956860476,0.9932209870695881,lplsp2-lplsp3_MS017
lplsp8-lplsp9,MS017,2.019110558921569,-9.32471685324589,0.050980227443403185,0.9893071623108052,lplsp8-lplsp9_MS017
ltplt1-ltplt2,MS017,1.9528241782191622,-9.658459726416655,0.03835337514446993,0.9943535526582786,ltplt1-ltplt2_MS017
ltplt2-ltplt3,MS017,2.1384089828287047,-9.319534327672653,0.02331349272546736,0.998257484108409,ltplt2-ltplt3_MS017
ltplt3-ltplt4,MS017,2.2420846675043027,-9.160276245222848,0.02820616525640798,0.9972268577723495,ltplt3-ltplt4_MS017
ltplt4-ltplt5,MS017,1.983819959775185,-9.657428030403242,0.026522685897686703,0.9975249663064243,ltplt4-ltplt5_MS017
ltplt5-ltplt6,MS017,1.6739051576982504,-9.948470408680814,0.025069574521623717,0.9966630531578566,ltplt5-ltplt6_MS017
ltplt6-ltplt7,MS017,2.0848475262311235,-9.425147993105867,0.02518313780818423,0.9972911885492018,ltplt6-ltplt7_MS017
