ch_name,subject,power,center_freq,bandwidth,freq_band,uniqueID
racas1-racas2,MS014,11.044395489021602,0.3544056601440797,5.063074695443007,,racas1-racas2_MS014
racas1-racas2,MS014,18.055287675673103,0.6860010138619135,5.999999999853179,,racas1-racas2_MS014
racas1-racas2,MS014,24.2064739314554,0.30701726924898587,3.240998059126867,,racas1-racas2_MS014
racas1-racas2,MS014,28.306500578402257,0.1457565205994822,4.033481861995766,,racas1-racas2_MS014
racas11-racas12,MS014,18.901458870003346,1.4242455874184188,5.999999999999999,delta,racas11-racas12_MS014
raglt1-raglt2,MS014,12.253965201044128,0.4728697144312566,4.618623776142888,,raglt1-raglt2_MS014
raglt1-raglt2,MS014,17.91499306131774,1.0335683821983288,5.999999999999999,delta,raglt1-raglt2_MS014
raglt1-raglt2,MS014,24.57893713604884,0.41485956863972184,5.999999999999999,,raglt1-raglt2_MS014
raglt2-raglt3,MS014,15.79397194152102,1.0888276081458468,5.999999999999999,delta,raglt2-raglt3_MS014
raglt2-raglt3,MS014,21.963908350326395,0.7601133724613778,5.999999999999999,,raglt2-raglt3_MS014
raglt3-raglt4,MS014,7.805563718361478,0.3420145125953358,2.2198377685521558,,raglt3-raglt4_MS014
raglt3-raglt4,MS014,14.093969319133205,0.9765692852416699,5.668171217411289,,raglt3-raglt4_MS014
raglt3-raglt4,MS014,18.264417833210853,1.43085207961205,3.93304868390087,delta,raglt3-raglt4_MS014
raglt3-raglt4,MS014,22.932903120197153,0.7547935926424127,5.26207467945985,,raglt3-raglt4_MS014
raglt5-raglt6,MS014,10.632523658885038,0.20968575683974677,4.66376600466218,,raglt5-raglt6_MS014
raglt5-raglt6,MS014,18.188418966166793,0.8979372860043,5.999999999999999,,raglt5-raglt6_MS014
raglt5-raglt6,MS014,23.659789210455234,0.484074402711423,2.6383415686716023,,raglt5-raglt6_MS014
raglt5-raglt6,MS014,26.63080831857881,0.25264531479470875,2.492645448560821,,raglt5-raglt6_MS014
raglt5-raglt6,MS014,29.34821317936943,0.09756653906292634,1.5676248412925102,,raglt5-raglt6_MS014
raglt6-raglt7,MS014,17.10249612132936,1.1537537266754505,5.999999999999999,delta,raglt6-raglt7_MS014
raglt6-raglt7,MS014,23.16335677447055,0.6151394336918248,5.999999999999986,,raglt6-raglt7_MS014
raglt7-raglt8,MS014,9.62162881657873,0.5298963180663421,4.878214685034408,,raglt7-raglt8_MS014
raglt7-raglt8,MS014,17.539572156250436,1.201071393918566,5.999999999999999,delta,raglt7-raglt8_MS014
raglt7-raglt8,MS014,24.1656652808247,0.8256973973153983,5.999999999999999,,raglt7-raglt8_MS014
raglt8-raglt9,MS014,7.829406303789369,0.36808522385488907,2.4178823043616204,,raglt8-raglt9_MS014
raglt8-raglt9,MS014,10.708809618996465,0.34989966786892346,3.8414670651008436,,raglt8-raglt9_MS014
raglt8-raglt9,MS014,16.863310501835027,0.9786392642522515,5.999999999990182,,raglt8-raglt9_MS014
raglt8-raglt9,MS014,22.585128044273308,0.7714277204598812,5.999999463060867,,raglt8-raglt9_MS014
raglt8-raglt9,MS014,27.611323910255443,0.3813548012196524,3.682511615180452,,raglt8-raglt9_MS014
raips1-raips2,MS014,9.991243236555926,0.6528742640693626,2.8060977847416053,,raips1-raips2_MS014
raips1-raips2,MS014,13.077606808858775,0.965455268397621,4.242032121501816,,raips1-raips2_MS014
